(look-at arthur mel storage), success
(talk-to arthur mel storage), success
(pickup arthur basementbucket storage), success
(drop arthur basementbucket storage), success
(pickup arthur basementbucket storage), success
(give arthur basementbucket mel storage), proximity error
(give arthur basementbucket mel storage), proximity error
(give arthur basementbucket mel storage), success
(give mel basementexitkey arthur storage), success
(give arthur basementbucket mel storage), failure
(give arthur basementbucket mel storage), failure
(talk-to arthur mel storage), proximity error
(talk-to arthur mel storage), success
(move-through-doorway arthur storage basement), success
(look-at arthur basementexit basement), success
(look-at arthur basementexit basement), success
(unlock-entrance arthur basementexitkey basementexit basement), success
(open arthur basementexit basement), success
(move-through-entrance arthur basement basementexit bar), success
(close arthur basemententrance bar), proximity error
(close arthur basemententrance bar), success
(open arthur barexit bar), proximity error
(open arthur barexit bar), success
(move-through-entrance arthur bar barexit docks), success
(move-through-doorway arthur docks townarch), success
(talk-to arthur dorian townarch), success
(give dorian loveletter arthur townarch), success
(move-through-doorway arthur townarch townsquare), success
(talk-to arthur dave townsquare), proximity error
(talk-to arthur dave townsquare), success
(move-through-doorway arthur townsquare cliff), success
(pickup arthur bouquet cliff), proximity error
(pickup arthur bouquet cliff), success
(look-at arthur humanskull cliff), success
(pickup arthur humanskull cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), failure
(open arthur mansionentrance cliff), success
(move-through-entrance arthur cliff mansionentrance mansion), success
(look-at arthur avery mansion), success
(talk-to arthur avery mansion), success
(talk-to arthur jordan mansion), success
(move-through-entrance arthur mansion mansionexit cliff), success
(move-through-doorway arthur cliff townsquare), success
(move-through-doorway arthur townsquare townarch), success
(talk-to arthur dorian townarch), success
(move-through-doorway arthur townarch townsquare), success
(move-through-doorway arthur townsquare valley), success
(talk-to arthur james valley), success
(open arthur fortentrance valley), success
(move-through-entrance arthur valley fortentrance fort), success
(talk-to arthur phillip fort), success
(talk-to arthur phillip fort), success
(talk-to arthur ian fort), proximity error
(talk-to arthur ian fort), success
(talk-to arthur camille fort), success
(move-through-entrance arthur fort fortexit valley), success
(move-through-doorway arthur valley townsquare), success
(move-through-doorway arthur townsquare townarch), success
(open arthur forgeentrance townarch), success
(move-through-entrance arthur townarch forgeentrance forge), failure
(open arthur forgeentrance townarch), success
(talk-to arthur karina townarch), proximity error
(move-through-entrance arthur townarch forgeentrance forge), success
(pickup arthur knightsword forge), success
(pickup arthur rope forge), proximity error
(pickup arthur rope forge), success
(pickup arthur rope forge), proximity error
(pickup arthur rope forge), proximity error
(talk-to arthur matthias forge), success
(talk-to arthur peter forge), proximity error
(talk-to arthur peter forge), proximity error
(talk-to arthur peter forge), proximity error
(talk-to arthur peter forge), success
(talk-to arthur peter forge), success
